0.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
1.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
2.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
3.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
4.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
5.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
6.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
7.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
8.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
9.    XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX       XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX     X
10.    10111111101010110111001100110000       10111111101010110111001100101100     X
11.    01000010001000100110101011110001       01000010001000100110101011110001     X
12.    11000010000000100101011001010000       11000010000000100101011001010001     0
13.    01000001110011010000101110111000       01000001110011010000101110111000     X
14.    11000001001110110111001011011000       11000001001110110111001011010111     0
15.    11000001100010110110101111110000       11000001100010110110101111110000     X
16.    11000001110101001100001000010110       11000001110101001100001000010110     0
17.    01000001001110100111110111010000       01000001001110100111110111010000     0
18.    01000010000101100000101000010011       01000010000101100000101000010011     0
19.    01000010001001010110110011100001       01000010001001010110110011100001     0
20.    11000001101101011101000011110100       11000001101101011101000011110100     0
21.    01000000010010011111110001000000       01000000010010011111110001000001     0
22.    01000001001011001011110111010110       01000001001011001011110111010111     X
23.    01000001101110010000000010111010       01000001101110010000000010111010     X
24.    11000000001011111011101101010000       11000000001011111011101101010000     0
25.    10111111111011111100010101000000       10111111111011111100010101000101     0
26.    11000000000101000001100001010010       11000000000101000001100001010010     X
27.    01000010010100111000110111001100       01000010010100111000110111001100     0
28.    11000000111100001001000111000100       11000000111100001001000111000101     0
29.    01000001101110101001101101110010       01000001101110101001101101110010     X
30.    11000001010111000111111110110100       11000001010111000111111110110101     0
31.    10111110000011011111011000000000       10111110000011011111011000001111     X
32.    11000001000001111011010100011010       11000001000001111011010100011011     X
33.    01000010001001000111011100110110       01000010001001000111011100110110     X
34.    01000001111001100010100101101100       01000001111001100010100101101100     0
35.    01000010000100010101010100111000       01000010000100010101010100111000     0
36.    11000001001000000000010000111111       11000001001000000000010001000000     0
37.    11000001010000010000001111011001       11000001010000010000001111011001     X
38.    11000000100111010001110100010100       11000000100111010001110100010011     0
39.    10111111110101010110011011010000       10111111110101010110011011010001     X
40.    01000000111111110010000000101000       01000000111111110010000000101000     X
41.    11000000010101011000001100111000       11000000010101011000001100111010     0
42.    11000001111110110010000101110111       11000001111110110010000101110110     X
43.    11000010001000000001011000000010       11000010001000000001011000000010     X
44.    11000010001011111011001101001100       11000010001011111011001101001100     0
45.    11000000000101100011110011110000       11000000000101100011110011110001     0
46.    01000010000000101110000001000100       01000010000000101110000001000100     X
47.    11000000101111111000100000011011       11000000101111111000100000011010     0
48.    01000001111010000000100111000101       01000001111010000000100111000101     X
49.    11000010001111100110000100000110       11000010001111100110000100000110     0
50.    01000001100001110110001001000010       01000001100001110110001001000010     0
51.    00111110010101101001111001000000       00111110010101101001111001000110     0
52.    01000000110110000010101010110010       01000000110110000010101010110010     X
53.    01000001100011110001111011011011       01000001100011110001111011011100     0
54.    11000001101111101101101000101000       11000001101111101101101000101001     X
55.    11000001110010011000000000110010       11000001110010011000000000110011     X
56.    11000001100100011110110101001010       11000001100100011110110101001010     X
57.    11000001010101011100100000010100       11000001010101011100100000010100     0
58.    11000000110001100001011000001000       11000000110001100001011000000101     0
59.    10111110100111110011000110100000       10111110100111110011000110110000     X
60.    11000001100011100100111111111100       11000001100011100100111111111100     X
61.    11000001011110110010100000010111       11000001011110110010100000010111     0
62.    01000010000000010110100110110010       01000010000000010110100110110010     0
63.    01000000110001110101010100011000       01000000110001110101010100011000     0
64.    11000001101101010000011000101110       11000001101101010000011000101110     0
65.    10111111001101111101111000001100       10111111001101111101111000001101     0
66.    01000001100010100000010111100100       01000001100010100000010111100100     X
67.    01000001010111110010000011000000       01000001010111110010000011000000     0
68.    11000000001010001101011110010010       11000000001010001101011110010001     0
69.    11000010000110100100011011001110       11000010000110100100011011001111     X
70.    01000001111101101001111111111000       01000001111101101001111111111000     X
71.    11000001101001001100110000001011       11000001101001001100110000001011     0
72.    11000001011010100010111010101110       11000001011010100010111010101110     0
73.    01000000101111110010010110111000       01000000101111110010010110111000     0
74.    10111111001110111011011001000000       10111111001110111011011000110011     0
